Sample Number,Time (s),D0,D1,D2,D3,D4,D5,,
278,-0.722999998,0,0,0,0,0,0,,
279,-0.721999998,0,0,0,0,0,0,,
280,-0.720999998,0,0,0,0,0,0,,
281,-0.719999998,0,0,0,0,0,0,,
282,-0.718999998,0,0,0,0,0,0,,
283,-0.717999998,0,0,0,0,0,0,,
284,-0.716999998,0,0,0,0,0,0,,
285,-0.715999998,0,0,0,0,0,0,,
286,-0.714999998,0,0,0,0,0,0,,
287,-0.713999998,0,0,0,0,0,0,,
288,-0.712999998,0,0,0,0,0,0,,
289,-0.711999998,0,0,0,0,0,0,,
290,-0.710999998,0,0,0,0,0,0,,
291,-0.709999998,0,0,0,0,0,0,,
292,-0.708999998,0,0,0,0,0,0,,
293,-0.707999998,0,0,0,0,0,0,,
294,-0.706999998,0,0,0,0,0,0,,
295,-0.705999998,0,0,0,0,0,0,,
296,-0.704999998,0,0,0,0,0,0,,
297,-0.703999998,0,0,0,0,0,0,,
298,-0.702999998,0,0,0,0,0,0,,
299,-0.701999998,0,0,0,0,0,0,,
300,-0.700999998,0,0,0,0,0,0,,
301,-0.699999998,1,0,0,0,0,0,,
302,-0.698999998,1,0,0,0,0,0,,
303,-0.697999998,1,0,0,0,0,0,,
304,-0.696999998,1,0,0,0,0,0,,
305,-0.695999998,1,1,0,0,0,0,,
306,-0.694999998,1,1,0,0,0,0,,
307,-0.693999998,1,1,0,0,0,0,,
308,-0.692999998,1,1,0,0,0,0,,
309,-0.691999998,1,1,0,0,0,0,,
310,-0.690999998,1,1,0,0,0,0,,
311,-0.689999998,1,1,0,0,0,0,,
312,-0.688999998,0,1,0,0,0,0,,
313,-0.687999998,0,1,0,0,0,0,,
314,-0.686999998,0,1,0,0,0,0,,
315,-0.685999998,0,0,0,0,0,0,,
316,-0.684999998,0,0,0,0,0,0,,
317,-0.683999998,0,0,0,0,0,0,,
318,-0.682999998,0,0,0,0,0,0,,
319,-0.681999998,0,0,0,0,0,0,,
320,-0.680999998,0,0,0,0,0,0,,
321,-0.679999998,0,0,0,0,0,0,,
322,-0.678999998,0,0,0,0,0,0,,
323,-0.677999998,0,0,0,0,0,0,,
324,-0.676999998,0,0,0,0,0,0,,
325,-0.675999998,0,0,0,0,0,1,,
326,-0.674999998,0,0,0,0,0,1,,
327,-0.673999998,0,0,0,0,0,1,,
328,-0.672999998,0,0,1,0,0,0,,
329,-0.671999998,0,0,1,0,0,0,,
330,-0.670999998,0,0,1,0,1,0,,
331,-0.669999998,0,0,1,0,1,0,,
332,-0.668999998,0,0,0,0,1,0,,
333,-0.667999998,0,0,0,1,0,0,,
334,-0.666999998,0,0,0,1,0,0,,
335,-0.665999998,0,0,0,1,0,0,,
336,-0.664999998,0,0,0,0,0,0,,
337,-0.663999998,0,0,0,0,0,0,,
338,-0.662999998,0,0,0,0,0,0,,
339,-0.661999998,0,0,0,0,0,0,,
340,-0.660999998,0,0,0,0,0,0,,
341,-0.659999998,0,0,0,0,0,0,,
342,-0.658999998,0,0,0,0,0,0,,
343,-0.657999998,0,0,0,0,0,0,,
344,-0.656999998,0,0,0,0,0,0,,
345,-0.655999998,0,0,0,0,0,0,,
346,-0.654999998,0,0,0,0,0,0,,
347,-0.653999998,0,0,0,0,0,0,,
348,-0.652999998,0,0,0,0,0,0,,
349,-0.651999998,0,0,0,0,0,0,,
350,-0.650999998,0,0,0,0,0,0,,
351,-0.649999998,0,0,0,0,0,0,,
352,-0.648999998,0,0,0,0,0,0,,
353,-0.647999998,0,0,0,0,0,0,,
354,-0.646999998,0,0,0,0,0,0,,
355,-0.645999998,0,0,0,0,0,0,,
356,-0.644999998,0,0,0,0,0,0,,
357,-0.643999998,0,0,0,0,0,0,,
358,-0.642999998,0,0,0,0,0,0,,
359,-0.641999998,0,0,0,0,0,0,,
360,-0.640999998,0,0,0,0,0,0,,
361,-0.639999998,0,0,0,0,0,0,,
362,-0.638999998,0,0,0,0,0,0,,
363,-0.637999998,0,0,0,0,0,0,,
364,-0.636999998,0,0,0,0,0,0,,
365,-0.635999998,0,0,0,0,0,0,,
366,-0.634999998,0,0,0,0,0,0,,
367,-0.633999998,0,0,0,0,0,0,,
368,-0.632999998,0,0,0,0,0,0,,
369,-0.631999998,0,0,0,0,0,0,,
370,-0.630999998,0,0,0,0,0,0,,
371,-0.629999998,0,0,0,0,0,0,,
372,-0.628999998,0,0,0,0,0,0,,
373,-0.627999998,0,0,0,0,0,0,,
374,-0.626999998,0,0,0,0,0,0,,
375,-0.625999998,0,0,0,0,0,0,,
376,-0.624999998,0,0,0,0,0,0,,
377,-0.623999998,0,0,0,0,0,0,,
378,-0.622999998,0,0,0,0,0,0,,
379,-0.621999998,0,0,0,0,0,0,,
380,-0.620999998,0,0,0,0,0,0,,
381,-0.619999998,0,0,0,0,0,0,,
